Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1004531,1.10E+11,"WHEELABRATOR SOUTH BROWARD, INC - RESOURCE RECOVERY FACILITY",FT. LAUDERDALE,FL,33314,4400 SOUTH STATE ROAD 7,BROWARD COUNTY,26.07,-80.2,562213,C,Waste,356298.46,341523,5762.75,9012.71,,,,,,,,,476496,356298.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004244,1.10E+11,WHEELABRATOR WESTCHESTER LP,PEEKSKILL,NY,10566,1 CHARLES PT AVE,WESTCHESTER COUNTY,41.28,-73.94,562213,C,Waste,243762.02,229527,5551,8684.02,,,,,,,,,395034,243762.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002514,1.10E+11,WHISPERING PINES LANDFILL,HOUSTON,TX,77016,8101 LITTLE YORK RD,HARRIS COUNTY,29.87,-95.27,562212,HH,Waste,35807.5,,35807.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35807.5,,,,N,N,N
1001993,1.10E+11,WHITEFEATHER LANDFILL INC,PINCONNING,MI,48650,2401 EAST WHITEFEATHER ROAD,BAY COUNTY,43.9,-83.95,562212,"C,HH",Waste,22553.35,111.3,22441.75,0.3,,,,,,,,,,111.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22441.75,,,,N,N,N
1002567,1.10E+11,WHITESIDE COUNTY LANDFILL,MORRISON,IL,61270,18762 LINCOLN RD.,WHITESIDE COUNTY,41.79,-89.89,562212,"C,HH",Waste,107869.9,5.9,107864,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107864,,,,N,N,N
1002563,1.10E+11,WHITSON COMPRESSOR STATION,Wiley,AL,35579,,TUSCALOOSA COUNTY,33.53,-87.46,211130,C,Petroleum and Natural Gas Systems,26013.96,25988.2,11.75,14.01,,,,,,,,,,26013.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1008148,1.10E+11,"WIC Station 7938 Snake River, CO",Craig,CO,81625,18640 County Road 4,MOFFAT COUNTY,40.98,-107.71,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,16463.84,15525.2,930,8.64,,,,,,,,,,15539.99,,,,,,,,,,,,,,,,,,,,923.85,,,,,,,,,,,,,,,,,N,N,N
1002133,1.10E+11,"WIC Station 7950 Douglas, WY",Douglas,WY,82633,49 Natural Bridge Road,CONVERSE COUNTY,42.79,-105.61,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,30650.79,27960,2675,15.79,,,,,,,,,,27985.94,,,,,,,,,,,,,,,,,,,,2664.85,,,,,,,,,,,,,,,,,N,N,N
1002029,1.10E+11,WILCOX GAS PLANT,Hallettsville,TX,77964,404 Private Road 1045,LAVACA COUNTY,29.34,-96.68,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",153846.78,152795.2,989,62.58,,,,,,,,,,102420.36,,,,,,,,,,,,,,,,,,,51426.42,,,,,,,,,,,,,,,,,,N,N,N
1002630,1.10E+11,WILLARD CO2 SEPARATION PLANT,DENVER CITY,TX,79323,,YOAKUM COUNTY,33.03,-102.82,211120,"C,W-PROC",Petroleum and Natural Gas Systems,106150.4,103461.9,2635.75,52.75,,,,,,,,,,92511.55,,,,,,,,,,,,,,,,,,,13638.84,,,,,,,,,,,,,,,,,,N,N,N
1005339,1.10E+11,WILLIAM BEAUMONT HOSPITAL,ROYAL OAK,MI,48073,3601 W 13 MILE RD,OAKLAND COUNTY,42.52,-83.19,622110,C,Other,29720.89,29690.2,14,16.69,,,,,,,,,,29720.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003695,1.10E+11,WILLIAMS COUNTY LANDFILL,BRYAN,OH,43506,12539 COUNTY ROAD G,WILLIAMS COUNTY,41.52,-84.59,562212,"C,HH",Waste,136849.15,25.4,136823.75,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136823.75,,,,N,N,N
1002214,1.10E+11,WILLIAMS MOBILE BAY GAS PROCESSING FACILITY,CODEN,AL,36523,6000 ROCK ROAD,MOBILE COUNTY,30.4,-88.18,211130,"C,W-PROC",Petroleum and Natural Gas Systems,127387.67,125326.9,1989.25,71.52,,,,,,,,,,117040.56,,,,,,,,,,,,,,,,,,,10347.11,,,,,,,,,,,,,,,,,,N,N,N
1007799,1.10E+11,WILLIAMSON COUNTY LANDFILL HUTTO,HUTTO,TX,78634,600 CR 128,WILLIAMSON COUNTY,30.6,-97.55,562212,HH,Waste,89050.25,,89050.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89050.25,,,,N,N,N
1004590,1.10E+11,WILLMAR MUNICIPAL UTILITIES,WILLMAR,MN,56201,710 BENSON AVE SW,KANDIYOHI COUNTY,45.12,-95.05,221112,C,Power Plants,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
